 ****     -80.000     -70.000     -60.000     -50.000     -40.000     -30.000     -20.000     -10.000       0.000      10.000      20.000      30.000      40.000      50.000      60.000      70.000      80.000      90.000     100.000     110.000     120.000     130.000     140.000     150.000     160.000     170.000     180.000     190.000     200.000     210.000     220.000     230.000     240.000     250.000     260.000     270.000     280.000     290.000     300.000     310.000     320.000     330.000     340.000     350.000     360.000     370.000     380.000     390.000     400.000     410.000     420.000     430.000     440.000     450.000     460.000     470.000     480.000     490.000     500.000
 
    1   0.000E+00  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -1.#JE+000  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01   0.1#JE+01  -0.1#JE+01
    7   0.306E+11  -0.194E+11   0.496E+10  -0.368E+06  -0.354E+06  -0.342E+06  -0.329E+06  -0.316E+06  -0.304E+06  -0.292E+06   0.280E+10  -0.142E+11   0.284E+11  -0.282E+11   0.138E+11  -0.266E+10   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00  -0.900E+08   0.503E+09  -0.112E+10   0.126E+10  -0.704E+09   0.158E+09
 
    8   0.531E+12  -0.263E+12   0.546E+11  -0.499E+06  -0.483E+06  -0.469E+06  -0.454E+06  -0.439E+06  -0.425E+06  -0.280E+11   0.173E+12  -0.440E+12   0.595E+12  -0.448E+12   0.178E+12  -0.292E+11   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.900E+09  -0.602E+10   0.168E+11  -0.250E+11   0.209E+11  -0.932E+10   0.173E+10
 
    9   0.847E+13  -0.344E+13   0.600E+12  -0.650E+06  -0.632E+06  -0.616E+06  -0.599E+06  -0.582E+06   0.280E+12  -0.203E+13   0.630E+13  -0.108E+14   0.110E+14  -0.671E+13   0.225E+13  -0.322E+12   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00  -0.900E+10   0.701E+11  -0.234E+12   0.434E+12  -0.483E+12   0.323E+12  -0.120E+12   0.191E+11
 
   10   0.128E+15  -0.439E+14   0.660E+13  -0.821E+06  -0.801E+06  -0.783E+06  -0.764E+06  -0.280E+13   0.234E+14  -0.854E+14   0.177E+15  -0.229E+15   0.188E+15  -0.963E+14   0.280E+14  -0.354E+13   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.900E+11  -0.800E+12   0.311E+13  -0.692E+13   0.961E+13  -0.855E+13   0.475E+13  -0.151E+13   0.210E+12
 
   11   0.184E+16  -0.549E+15   0.726E+14  -0.101E+07  -0.990E+06  -0.970E+06   0.280E+14  -0.265E+15   0.111E+16  -0.271E+16   0.424E+16  -0.440E+16   0.304E+16  -0.134E+16   0.343E+15  -0.389E+14   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00  -0.900E+12   0.899E+13  -0.399E+14   0.103E+15  -0.172E+15   0.191E+15  -0.142E+15   0.674E+14  -0.187E+14   0.231E+13
 
