	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,05	2	0,05	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,1	2	0,1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0	0	-0,15	1,99	0,15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0	0,01	-0,2	1,99	0,2	0,01	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0	0,01	-0,25	1,98	0,25	0,01	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0	0	0,02	-0,3	1,96	0,3	0,02	0	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0	0,03	-0,35	1,95	0,35	0,03	0	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0	0	0	0,03	-0,39	1,93	0,39	0,03	0	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0	0	0,03	-0,44	1,91	0,44	0,04	0	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0	0,06	-0,49	1,89	0,49	0,06	0	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	-0,01	0,07	-0,53	1,86	0,53	0,07	0,01	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0	0	-0,01	0,08	-0,58	1,84	0,58	0,08	0,01	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	-0,01	0,1	-0,62	1,81	0,62	0,1	0,01	0	0	0	0	0	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	0	0	0	-0,01	0,11	-0,67	1,78	0,67	0,11	0,01	0	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0	0	-0,01	0,13	-0,71	1,74	0,71	0,13	0,01	0	0	0	0	0	0	0	0	0	0	0	0
17	0	0	0	0	0	0	0	0	0	0	0	-0,02	0,14	-0,75	1,71	0,75	0,14	0,02	0	0	0	0	0	0	0	0	0	0	0	0
18	0	0	0	0	0	0	0	0	0	0	0	-0,02	0,16	-0,79	1,67	0,79	0,16	0,02	0	0	0	0	0	0	0	0	0	0	0	0
19	0	0	0	0	0	0	0	0	0	0	0	-0,02	0,18	-0,83	1,63	0,83	0,18	0,02	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	0	0	0	0	0	0	0	0	0	-0,03	0,2	-0,86	1,59	0,86	0,2	0,03	0	0	0	0	0	0	0	0	0	0	0	0
21	0	0	0	0	0	0	0	0	0	0	0	-0,03	0,22	-0,9	1,55	0,9	0,22	0,03	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0	0	0	-0,04	0,24	-0,93	1,5	0,93	0,24	0,04	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0,01	-0,05	0,27	-0,96	1,46	0,96	0,27	0,05	0,01	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0,01	-0,05	0,29	-0,99	1,41	0,99	0,29	0,05	0,01	0	0	0	0	0	0	0	0	0	0	0
25	0	0	0	0	0	0	0	0	0	0	0,01	-0,06	0,31	-1,02	1,36	1,02	0,31	0,06	0,01	0	0	0	0	0	0	0	0	0	0	0
26	0	0	0	0	0	0	0	0	0	0	0,01	-0,07	0,34	-1,04	1,31	1,04	0,34	0,07	0,01	0	0	0	0	0	0	0	0	0	0	0
27	0	0	0	0	0	0	0	0	0	0	0,01	-0,07	0,36	-1,07	1,26	1,07	0,36	0,07	0,01	0	0	0	0	0	0	0	0	0	0	0
28	0	0	0	0	0	0	0	0	0	0	0,01	-0,08	0,39	-1,09	1,2	1,09	0,39	0,08	0,01	0	0	0	0	0	0	0	0	0	0	0
29	0	0	0	0	0	0	0	0	0	0	0,01	-0,09	0,41	-1,11	1,15	1,11	0,41	0,09	0,01	0	0	0	0	0	0	0	0	0	0	0
30	0	0	0	0	0	0	0	0	0	0	0,02	-0,1	0,44	-1,13	1,09	1,13	0,44	0,1	0,02	0	0	0	0	0	0	0	0	0	0	0
31	0	0	0	0	0	0	0	0	0	0	0,02	-0,11	0,46	-1,15	1,04	1,15	0,46	0,11	0,02	0	0	0	0	0	0	0	0	0	0	0
32	0	0	0	0	0	0	0	0	0	0	0,02	-0,12	0,49	-1,16	0,98	1,16	0,49	0,12	0,02	0	0	0	0	0	0	0	0	0	0	0
33	0	0	0	0	0	0	0	0	0	0	0,03	-0,14	0,51	-1,17	0,92	1,17	0,51	0,14	0,03	0	0	0	0	0	0	0	0	0	0	0
34	0	0	0	0	0	0	0	0	0	0	0,03	-0,15	0,54	-1,18	0,86	1,18	0,54	0,15	0,03	0	0	0	0	0	0	0	0	0	0	0
35	0	0	0	0	0	0	0	0	0	0	0,03	-0,16	0,57	-1,19	0,8	1,19	0,57	0,16	0,03	0	0	0	0	0	0	0	0	0	0	0
36	0	0	0	0	0	0	0	0	0	-0,01	0,04	-0,17	0,59	-1,2	0,74	1,2	0,59	0,17	0,04	0,01	0	0	0	0	0	0	0	0	0	0
37	0	0	0	0	0	0	0	0	0	-0,01	0,04	-0,19	0,62	-1,2	0,68	1,2	0,62	0,19	0,04	0,01	0	0	0	0	0	0	0	0	0	0
38	0	0	0	0	0	0	0	0	0	-0,01	0,05	-0,2	0,64	-1,2	0,62	1,2	0,64	0,2	0,05	0,01	0	0	0	0	0	0	0	0	0	0
39	0	0	0	0	0	0	0	0	0	-0,01	0,05	-0,22	0,67	-1,2	0,56	1,2	0,67	0,22	0,05	0,01	0	0	0	0	0	0	0	0	0	0
40	0	0	0	0	0	0	0	0	0	-0,01	0,06	-0,23	0,69	-1,2	0,5	1,2	0,69	0,23	0,06	0,01	0	0	0	0	0	0	0	0	0	0
41	0	0	0	0	0	0	0	0	0	-0,01	0,06	-0,25	0,72	-1,19	0,44	1,19	0,72	0,25	0,06	0,01	0	0	0	0	0	0	0	0	0	0
42	0	0	0	0	0	0	0	0	0	-0,01	0,07	-0,27	0,74	-1,19	0,38	1,19	0,74	0,27	0,07	0,01	0	0	0	0	0	0	0	0	0	0
43	0	0	0	0	0	0	0	0	0	-0,01	0,07	-0,28	0,76	-1,18	0,32	1,18	0,76	0,28	0,07	0,01	0	0	0	0	0	0	0	0	0	0
44	0	0	0	0	0	0	0	0	0	-0,02	0,08	-0,3	0,79	-1,17	0,26	1,17	0,79	0,3	0,08	0,02	0	0	0	0	0	0	0	0	0	0
45	0	0	0	0	0	0	0	0	0	-0,02	0,09	-0,32	0,81	-1,15	0,21	1,15	0,81	0,32	0,09	0,02	0	0	0	0	0	0	0	0	0	0
46	0	0	0	0	0	0	0	0	0	-0,02	0,09	-0,34	0,83	-1,14	0,15	1,14	0,83	0,34	0,09	0,02	0	0	0	0	0	0	0	0	0	0
47	0	0	0	0	0	0	0	0	0	-0,02	0,1	-0,35	0,85	-1,12	0,09	1,12	0,85	0,35	0,1	0,02	0	0	0	0	0	0	0	0	0	0
48	0	0	0	0	0	0	0	0	0	-0,02	0,11	-0,37	0,87	-1,1	0,04	1,1	0,87	0,37	0,11	0,02	0	0	0	0	0	0	0	0	0	0
49	0	0	0	0	0	0	0	0	0,01	-0,03	0,12	-0,39	0,89	-1,08	-0,02	1,08	0,89	0,39	0,12	0,03	0,01	0	0	0	0	0	0	0	0	0
50	0	0	0	0	0	0	0	0	0,01	-0,03	0,13	-0,41	0,9	-1,06	-0,07	1,06	0,9	0,41	0,13	0,03	0,01	0	0	0	0	0	0	0	0	0
