 1  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 2  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.05 2.00 0.05 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 3  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.10 2.00 0.10 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 4  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.15 1.99 0.15 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 5  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01-0.20 1.99 0.20 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 6  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01-0.25 1.98 0.25 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 7  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.02-0.30 1.96 0.30 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 8  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.03-0.35 1.95 0.35 0.03 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
 9  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.03-0.39 1.93 0.39 0.03 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
10  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.04-0.44 1.91 0.44 0.04 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
11  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.06-0.49 1.89 0.49 0.06 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
12  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.01 0.07-0.53 1.86 0.53 0.07 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
13  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.01 0.08-0.58 1.84 0.58 0.08 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
14  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.01 0.10-0.62 1.81 0.62 0.10 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
15  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.01 0.11-0.67 1.78 0.67 0.11 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
16  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.01 0.13-0.71 1.74 0.71 0.13 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
17  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.02 0.14-0.75 1.71 0.75 0.14 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
18  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.02 0.16-0.79 1.67 0.79 0.16 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
19  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.02 0.18-0.83 1.63 0.83 0.18 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
20  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.03 0.20-0.86 1.59 0.86 0.20 0.03 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
21  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.03 0.22-0.90 1.55 0.90 0.22 0.03 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
22  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.04 0.24-0.93 1.50 0.93 0.24 0.04 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
23  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01-0.05 0.27-0.96 1.46 0.96 0.27 0.05 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
24  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01-0.05 0.29-0.99 1.41 0.99 0.29 0.05 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
25  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01-0.06 0.31-1.02 1.36 1.02 0.31 0.06 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
26  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01-0.07 0.34-1.04 1.31 1.04 0.34 0.07 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
27  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01-0.07 0.36-1.07 1.26 1.07 0.36 0.07 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
28  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01-0.08 0.39-1.09 1.20 1.09 0.39 0.08 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
29  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01-0.09 0.41-1.11 1.15 1.11 0.41 0.09 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
30  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.02-0.10 0.44-1.13 1.09 1.13 0.44 0.10 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
31  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.02-0.11 0.46-1.15 1.04 1.15 0.46 0.11 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
32  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.02-0.12 0.49-1.16 0.98 1.16 0.49 0.12 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
33  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.03-0.14 0.51-1.17 0.92 1.17 0.51 0.14 0.03 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
34  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.03-0.15 0.54-1.18 0.86 1.18 0.54 0.15 0.03 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
35  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.03-0.16 0.57-1.19 0.80 1.19 0.57 0.16 0.03 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
36  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.01 0.04-0.17 0.59-1.20 0.74 1.20 0.59 0.17 0.04 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
37  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.01 0.04-0.19 0.62-1.20 0.68 1.20 0.62 0.19 0.04 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
38  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.01 0.05-0.20 0.64-1.20 0.62 1.20 0.64 0.20 0.05 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
39  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.01 0.05-0.22 0.67-1.20 0.56 1.20 0.67 0.22 0.05 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
40  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.01 0.06-0.23 0.69-1.20 0.50 1.20 0.69 0.23 0.06 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
41  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.01 0.06-0.25 0.72-1.19 0.44 1.19 0.72 0.25 0.06 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
42  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.01 0.07-0.27 0.74-1.19 0.38 1.19 0.74 0.27 0.07 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
43  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.01 0.07-0.28 0.76-1.18 0.32 1.18 0.76 0.28 0.07 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
44  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.02 0.08-0.30 0.79-1.17 0.26 1.17 0.79 0.30 0.08 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
45  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.02 0.09-0.32 0.81-1.15 0.21 1.15 0.81 0.32 0.09 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
46  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.02 0.09-0.34 0.83-1.14 0.15 1.14 0.83 0.34 0.09 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
47  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.02 0.10-0.35 0.85-1.12 0.09 1.12 0.85 0.35 0.10 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
48  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00-0.02 0.11-0.37 0.87-1.10 0.04 1.10 0.87 0.37 0.11 0.02 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
49  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01-0.03 0.12-0.39 0.89-1.08-0.02 1.08 0.89 0.39 0.12 0.03 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
50  0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.01-0.03 0.13-0.41 0.90-1.06-0.07 1.06 0.90 0.41 0.13 0.03 0.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
