 1  0,888888896
 2  1,11111116
 3  1,02010584
 4  1,10000002
 5  1,05186677
 6  1,0989418
 7  1,06554782
 8  1,09872544
 9  1,07308125
 10  1,09866071
 11  1,0778327
 12  1,09863615
 13  1,08109808
 14  1,09862542
 15  1,08347857
 16  1,09861994
 17  1,08529043
 18  1,09861708
 19  1,0867151
 20  1,09861541
 21  1,087865
 22  1,09861457
 23  1,08881223
 24  1,09861386
 25  1,08960629
 26  1,09861338
 27  1,09028101
 28  1,09861302
 29  1,09086204
 30  1,09861302
 31  1,09136724
 32  1,09861279
 33  1,09181082
 34  1,0986129
 35  1,0922029
 36  1,09861255
 37  1,09255242
 38  1,09861255
 39  1,09286582
 40  1,09861243
 41  1,09314835
 42  1,09861243
 43  1,09340429
 44  1,09861231
 45  1,09363759
 46  1,09861231
 47  1,09385073
 48  1,09861255
 49  1,09404647
 50  1,09861231
 51  1,09422672
 52  1,09861243
 53  1,09439313
 54  1,09861231
 55  1,09454751
 56  1,09861255
 57  1,0946908
 58  1,09861219
 59  1,09482443
 60  1,09861255
 61  1,09494936
 62  1,09861231
 63  1,09506631
 64  1,09861231
 65  1,09517634
 66  1,09861219
 67  1,09527922
 68  1,09861243
 69  1,09537613
 70  1,09861219
 71  1,09546769
 72  1,09861243
 73  1,09555471
 74  1,09861231
 75  1,09563625
 76  1,09861207
 77  1,09571373
 78  1,09861219
 79  1,09578753
 80  1,09861255
 81  1,0958575
 82  1,09861243
 83  1,09592414
 84  1,09861183
 85  1,0959878
 86  1,09861255
 87  1,09604812
 88  1,09861219
 89  1,09610593
 90  1,09861243
 91  1,0961616
 92  1,09861243
 93  1,09621441
 94  1,09861219
 95  1,09626496
 96  1,09861231
 97  1,09631336
 98  1,09861207
 99  1,09636021
 100  1,09861219
 101  1,09640479
 102  1,09861219
 103  1,09644771
 104  1,09861219
 105  1,09648895
 106  1,09861195
 107  1,09652913
 108  1,09861207
 109  1,09656751
 110  1,09861219
 111  1,09660435
 112  1,09861231
 113  1,09663975
 114  1,09861255
 115  1,09667444
 116  1,09861243
 117  1,09670758
 118  1,09861243
 119  1,09673989
 120  1,09861207
 121  1,09677064
 122  1,09861207
 123  1,0968008
 124  1,09861219
 125  1,09682989
 126  1,09861219
 127  1,09685791
 128  1,09861207
 129  1,09688532
 130  1,09861255
 131  1,09691167
 132  1,09861279
 133  1,0969373
 134  1,09861231
 135  1,09696186
 136  1,09861231
 137  1,09698594
 138  1,09861255
 139  1,09700954
 140  1,09861231
 141  1,09703267
 142  1,09861231
 143  1,0970546
 144  1,09861267
 145  1,09707606
 146  1,09861207
 147  1,09709704
 148  1,09861243
 149  1,09711742
 150  1,09861219
 151  1,09713733
 152  1,09861231
 153  1,09715641
 154  1,09861255
 155  1,09717548
 156  1,09861219
 157  1,09719372
 158  1,09861243
 159  1,09721208
 160  1,09861219
 161  1,09722912
 162  1,09861243
 163  1,09724617
 164  1,09861207
 165  1,09726262
 166  1,09861219
 167  1,09727907
 168  1,09861243
 169  1,09729445
 170  1,09861231
 171  1,09731042
 172  1,09861219
 173  1,09732544
 174  1,0986129
 175  1,09733987
 176  1,09861255
 177  1,09735441
 178  1,09861219
 179  1,09736824
 180  1,09861219
 181  1,09738195
 182  1,09861171
 183  1,09739566
 184  1,09861219
 185  1,09740925
 186  1,09861183
 187  1,097422
 188  1,09861207
 189  1,09743452
 190  1,09861243
 191  1,09744692
 192  1,09861267
 193  1,0974592
 194  1,09861219
 195  1,09747052
 196  1,09861267
 197  1,09748209
 198  1,09861207
 199  1,09749341
 200  1,09861267
 201  1,09750462
 202  1,09861267
 203  1,09751558
 204  1,09861279
 205  1,09752667
 206  1,09861255
 207  1,0975368
 208  1,09861219
 209  1,09754741
 210  1,09861219
 211  1,09755754
